Lead Number,TotalVisits,Total Time Spent on Website,time_decay,bounce_rate,Car,gender,city,sales_branch,policy_type,fuel_type,varient,PA,RA,claim_reasons,coverage,claim_amount,year,insurance_type
613918,2,1598,27,0.191966448,Hyundai,Male,tier2,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Scratch/Dent,Extended,5237,2020,comprehensive_insurance
611072,0,0,40,0.157,Hyundai,Female,tier1,Web,PersonalAuto,Diesel,Basemodel,No,No,Collision,Premium,21141,2018,comprehensive_insurance
646453,0,0,106,0.157,Hyundai,Male,tier1,Web,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Collision,Premium,3639,2020,comprehensive_insurance
616780,0,0,144,0.764679439,TATA,Female,tier1,App,CorporateAuto,Diesel,Middlemodel,Yes,No,Collision,Premium,16987,2020,comprehensive_insurance
617745,13,1469,131,0.278225312,TATA,Male,tier3,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,836,2021,third_party_insurance
625137,10,877,55,0.257428538,Hyundai,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,12742,2017,comprehensive_insurance
601856,2,288,90,0.548719581,TATA,Male,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,Yes,No,Hail,Basic,3481,2019,third_party_insurance
581016,3,1230,179,0.232495995,TATA,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,10931,2019,comprehensive_insurance
640866,0,0,18,0.82703227,Mahindra,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,No,Collision,Premium,11956,2021,comprehensive_insurance
582101,4,95,38,0.026513668,Mahindra,Male,tier1,App,CorporateAuto,Diesel,Basemodel,No,Yes,Collision,Premium,5622,2021,comprehensive_insurance
594705,4,73,56,0.038193308,Maruti,Male,tier1,App,PersonalAuto,Diesel,Topmodel,Yes,Yes,Collision,Premium,6705,2017,comprehensive_insurance
607471,2,125,160,0.901370418,Ford,Male,tier1,Web,CorporateAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,8861,2018,comprehensive_insurance
637445,6,1189,78,0.229655868,Ford,Female,tier2,App,PersonalAuto,Diesel,Basemodel,No,Yes,Hail,Basic,3045,2019,third_party_insurance
649102,2,417,93,0.193898885,Mahindra,Male,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,19159,2019,comprehensive_insurance
657968,7,116,100,0.201513138,Hyundai,Male,tier1,Web,CorporateAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,1208,2018,comprehensive_insurance
610391,2,1325,92,0.187055331,TATA,Male,tier1,App,PersonalAuto,Diesel,Basemodel,No,Yes,Hail,Basic,6151,2020,third_party_insurance
637183,5,155,150,0.905598967,Jeep,Female,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Collision,Premium,18964,2018,comprehensive_insurance
580332,4,315,85,0.415299644,Mahindra,Female,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,4500,2019,third_party_insurance
596412,2,1561,84,0.046634691,TATA,Female,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,697,2020,comprehensive_insurance
606672,3,21,102,0.075315788,Hyundai,Male,tier1,App,PersonalAuto,Petrol,Middlemodel,No,No,Hail,Basic,6591,2020,third_party_insurance
581587,7,499,43,0.495,Hyundai,Female,tier3,Web,PersonalAuto,Petrol,Basemodel,No,No,Hail,Basic,3013,2020,third_party_insurance
615283,3,558,161,0.275586164,Maruti,Male,tier3,Call Center,PersonalAuto,Diesel,Topmodel,No,Yes,Collision,Premium,11289,2017,comprehensive_insurance
618449,3,172,168,0.8717902,Maruti,Female,tier1,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Scratch/Dent,Extended,7404,2019,comprehensive_insurance
644036,5,324,32,0.828254625,Hyundai,Male,tier3,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,4722,2019,third_party_insurance
588317,1,1936,94,0.222349607,Mahindra,Male,tier1,App,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,3492,2019,comprehensive_insurance
658070,7,74,32,0.514322794,Mahindra,Female,tier3,App,CorporateAuto,Diesel,Middlemodel,Yes,No,Scratch/Dent,Extended,2049,2019,comprehensive_insurance
580849,2,332,10,0.157,TATA,Male,tier1,App,PersonalAuto,Diesel,Middlemodel,Yes,No,Scratch/Dent,Extended,1669,2019,comprehensive_insurance
582448,3,432,83,0.178906328,Maruti,Female,tier2,Web,PersonalAuto,Diesel,Basemodel,No,Yes,Hail,Basic,3457,2020,third_party_insurance
599626,0,0,73,0.312304061,TATA,Male,tier1,Web,PersonalAuto,Petrol,Basemodel,No,No,Hail,Basic,3961,2021,third_party_insurance
639458,7,998,176,0.157,Hyundai,Female,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,13575,2018,comprehensive_insurance
582628,2,69,109,0.257202455,TATA,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,9821,2017,comprehensive_insurance
589816,0,0,178,0.461197358,Ford,Female,tier3,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,3462,2021,comprehensive_insurance
590847,5,1001,86,0.35106969,Mahindra,Male,tier1,Web,CorporateAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,4624,2017,comprehensive_insurance
634082,3,26,165,0.797273761,Mahindra,Male,tier3,Web,PersonalAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,3345,2019,comprehensive_insurance
660478,4,377,72,0.35584753,Ford,Male,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,3952,2017,comprehensive_insurance
605458,0,0,75,0.11198274,TATA,Female,tier1,App,PersonalAuto,Diesel,Basemodel,No,No,Scratch/Dent,Extended,10642,2021,comprehensive_insurance
587032,2,1451,136,0.467272193,Hyundai,Male,tier1,App,CorporateAuto,Diesel,Basemodel,No,Yes,Scratch/Dent,Extended,12978,2018,comprehensive_insurance
651812,16,1570,144,0.078448607,Maruti,Female,tier1,App,PersonalAuto,Petrol,Topmodel,Yes,Yes,Scratch/Dent,Extended,10095,2020,comprehensive_insurance
610077,4,1298,46,0.090995882,TATA,Female,tier1,Web,PersonalAuto,Diesel,Topmodel,Yes,Yes,Scratch/Dent,Extended,10173,2021,comprehensive_insurance
598251,7,202,122,0.195435722,Ford,Male,tier2,Web,CorporateAuto,Diesel,Topmodel,Yes,Yes,Collision,Premium,8151,2021,comprehensive_insurance
596519,2,641,122,0.36718678,Hyundai,Female,tier1,App,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Scratch/Dent,Extended,1581,2021,comprehensive_insurance
608571,2,38,91,0.345160908,Mahindra,Male,tier1,Web,PersonalAuto,Petrol,Basemodel,Yes,Yes,Hail,Basic,6222,2020,third_party_insurance
598962,3,1080,94,0.265197864,Maruti,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,331,2020,third_party_insurance
594506,0,0,106,0.719603862,Maruti,Male,tier2,Web,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Hail,Basic,5836,2017,third_party_insurance
629735,0,0,98,0.136629202,Hyundai,Male,tier3,Call Center,PersonalAuto,Diesel,Middlemodel,No,Yes,Scratch/Dent,Extended,4652,2017,comprehensive_insurance
599141,2,1294,81,0.643029466,Ford,Male,tier2,App,CorporateAuto,Petrol,Topmodel,Yes,No,Scratch/Dent,Extended,3322,2017,comprehensive_insurance
606606,0,0,100,0.616762514,Mahindra,Female,tier2,Call Center,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,1176,2019,comprehensive_insurance
581952,6,503,97,0.40073346,Jeep,Male,tier1,Call Center,PersonalAuto,Diesel,Basemodel,No,Yes,Hail,Basic,1991,2019,third_party_insurance
634915,3,527,129,0.175128551,TATA,Male,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,797,2021,comprehensive_insurance
596483,7,12,66,0.641637516,TATA,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,2193,2017,comprehensive_insurance
599550,0,0,64,0.124068831,Hyundai,Female,tier2,Web,PersonalAuto,Diesel,Basemodel,Yes,No,Hail,Basic,3900,2017,third_party_insurance
645335,2,1603,134,0.413597569,Mahindra,Female,tier1,Web,PersonalAuto,Diesel,Topmodel,No,Yes,Hail,Basic,2394,2021,third_party_insurance
593781,3,144,18,0.671681323,Ford,Female,tier1,Web,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Hail,Basic,4404,2020,third_party_insurance
588001,0,0,21,0.129075367,TATA,Female,tier3,App,CorporateAuto,Diesel,Basemodel,No,Yes,Collision,Premium,825,2020,comprehensive_insurance
623084,8,310,58,0.425539915,Hyundai,Female,tier1,Call Center,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,901,2019,third_party_insurance
584055,8,203,67,0.274151056,Mahindra,Male,tier1,Call Center,CorporateAuto,Petrol,Middlemodel,Yes,Yes,Hail,Basic,3003,2017,third_party_insurance
650514,2,494,159,0.291370938,Hyundai,Male,tier1,Web,CorporateAuto,Diesel,Middlemodel,No,Yes,Collision,Premium,17229,2018,comprehensive_insurance
607101,4,357,23,0.184617202,Maruti,Male,tier1,Web,PersonalAuto,Petrol,Topmodel,No,Yes,Collision,Premium,12060,2021,comprehensive_insurance
601728,4,140,138,0.275451318,Maruti,Male,tier1,Web,CorporateAuto,Diesel,Basemodel,No,Yes,Hail,Basic,655,2020,third_party_insurance
598037,0,0,29,0.962831762,Hyundai,Male,tier1,Web,CorporateAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,5555,2017,comprehensive_insurance
589402,2,1020,71,0.171877933,TATA,Male,tier3,App,PersonalAuto,Diesel,Basemodel,No,No,Collision,Premium,19870,2017,comprehensive_insurance
598510,0,0,21,0.423452794,Maruti,Male,tier1,Web,CorporateAuto,Petrol,Basemodel,No,No,Scratch/Dent,Extended,10305,2020,comprehensive_insurance
643517,7,1302,160,0.081394589,Hyundai,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Collision,Premium,14610,2020,comprehensive_insurance
615740,2,1871,78,0.157,Maruti,Male,tier3,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,8176,2018,comprehensive_insurance
630972,5,952,100,0.265338224,TATA,Male,tier3,App,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,7252,2021,comprehensive_insurance
634607,2,399,120,0.586006334,Maruti,Female,tier1,App,PersonalAuto,Diesel,Basemodel,No,Yes,Hail,Basic,1201,2018,third_party_insurance
602627,4,47,20,0.103928834,TATA,Female,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,4110,2021,third_party_insurance
581126,4,10,52,0.045641403,Jeep,Male,tier1,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Hail,Basic,1946,2018,third_party_insurance
642061,4,32,83,0.542121918,Mahindra,Male,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,No,Collision,Premium,14438,2017,comprehensive_insurance
640278,0,0,156,0.013701371,TATA,Male,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,No,Scratch/Dent,Extended,13614,2019,comprehensive_insurance
637148,0,0,106,0.157,Hyundai,Male,tier1,Web,PersonalAuto,Petrol,Middlemodel,Yes,No,Hail,Basic,550,2017,third_party_insurance
653473,8,978,48,0.157,Hyundai,Female,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Collision,Premium,21358,2018,comprehensive_insurance
643287,2,702,162,0.128796184,TATA,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,No,Yes,Hail,Basic,1384,2019,third_party_insurance
615333,5,357,123,0.564625803,Mahindra,Male,tier1,Call Center,PersonalAuto,Petrol,Basemodel,Yes,Yes,Scratch/Dent,Extended,2550,2019,comprehensive_insurance
624582,2,1201,13,0.017897898,Maruti,Male,tier1,Call Center,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,9977,2020,comprehensive_insurance
590729,4,15,120,0.720636939,Jeep,Male,tier1,Web,PersonalAuto,Petrol,Basemodel,No,Yes,Collision,Premium,6733,2017,comprehensive_insurance
635654,3,980,32,0.172446214,TATA,Female,tier1,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,17772,2019,comprehensive_insurance
585348,3,184,100,0.728243864,Maruti,Male,tier3,Call Center,CorporateAuto,Diesel,Basemodel,Yes,No,Scratch/Dent,Extended,3539,2017,comprehensive_insurance
582709,6,1713,91,0.056797545,Hyundai,Male,tier1,App,PersonalAuto,Diesel,Basemodel,No,Yes,Collision,Premium,21629,2017,comprehensive_insurance
633922,0,0,179,0.071226676,TATA,Female,tier2,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,600,2020,third_party_insurance
602217,3,450,51,0.676364288,Ford,Male,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Collision,Premium,5845,2021,comprehensive_insurance
610435,5,273,100,0.126944669,Maruti,Female,tier1,App,PersonalAuto,Petrol,Middlemodel,Yes,No,Scratch/Dent,Extended,13907,2021,comprehensive_insurance
591474,11,282,187,0.413669355,Ford,Male,tier1,Web,CorporateAuto,Diesel,Basemodel,Yes,No,Collision,Premium,21823,2019,comprehensive_insurance
649677,0,0,151,0.023419149,Hyundai,Male,tier3,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,13262,2017,comprehensive_insurance
612809,2,47,175,0.938524782,Ford,Female,tier2,App,PersonalAuto,Diesel,Basemodel,Yes,No,Hail,Basic,1485,2021,third_party_insurance
609451,3,1660,107,0.073249195,Hyundai,Male,tier2,App,PersonalAuto,Diesel,Basemodel,No,Yes,Scratch/Dent,Extended,4518,2019,comprehensive_insurance
649334,3,328,40,0.666352248,Ford,Male,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,16317,2017,comprehensive_insurance
636722,5,1715,167,0.186275557,Hyundai,Male,tier1,App,PersonalAuto,Petrol,Basemodel,Yes,No,Collision,Premium,16396,2017,comprehensive_insurance
606850,5,1132,15,0.284737238,TATA,Female,tier2,Web,PersonalAuto,Diesel,Middlemodel,No,Yes,Scratch/Dent,Extended,203,2018,comprehensive_insurance
653985,5,221,161,0.439200508,Hyundai,Male,tier1,Call Center,PersonalAuto,Petrol,Basemodel,No,Yes,Hail,Basic,2302,2021,third_party_insurance
644524,1,993,175,0.270181374,Maruti,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,No,Collision,Premium,17765,2017,comprehensive_insurance
614630,1,45,182,0.983910974,Jeep,Male,tier1,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,18896,2021,comprehensive_insurance
617223,0,0,10,0.096756696,Hyundai,Male,tier2,App,CorporateAuto,Diesel,Basemodel,Yes,No,Collision,Premium,5253,2021,comprehensive_insurance
634779,7,298,84,0.439802666,Mahindra,Male,tier1,App,PersonalAuto,Petrol,Middlemodel,No,No,Hail,Basic,4086,2019,third_party_insurance
659079,2,73,154,0.95273161,Jeep,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,1912,2019,comprehensive_insurance
580158,3,1246,58,0.313988077,TATA,Male,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,1363,2018,comprehensive_insurance
589544,10,1435,106,0.204859984,Hyundai,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,487,2017,comprehensive_insurance
588857,2,660,73,0.118836945,Ford,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,No,Yes,Collision,Premium,13340,2018,comprehensive_insurance
618713,0,0,53,0.20144803,Hyundai,Male,tier1,App,PersonalAuto,Diesel,Middlemodel,Yes,No,Collision,Premium,12564,2018,comprehensive_insurance
626497,0,0,64,0.301978886,Maruti,Male,tier1,App,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Hail,Basic,5078,2021,third_party_insurance
580734,2,325,188,0.290505062,Maruti,Male,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,No,Collision,Premium,14398,2018,comprehensive_insurance
598828,7,60,116,0.380423819,Mahindra,Male,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,5350,2020,comprehensive_insurance
584727,4,1840,12,0.045013907,Hyundai,Male,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,18609,2018,comprehensive_insurance
624314,4,178,81,0.38068766,TATA,Male,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,4019,2019,comprehensive_insurance
589033,1,858,10,0.657695031,Hyundai,Female,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,No,Collision,Premium,10794,2019,comprehensive_insurance
618102,7,406,103,0.513609543,TATA,Female,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,No,Yes,Hail,Basic,4386,2019,third_party_insurance
645024,2,139,33,0.709889644,Hyundai,Male,tier2,Web,PersonalAuto,Diesel,Basemodel,Yes,No,Collision,Premium,6520,2018,comprehensive_insurance
581538,8,178,159,0.452360511,TATA,Male,tier3,App,CorporateAuto,Diesel,Middlemodel,Yes,Yes,Collision,Premium,18454,2020,comprehensive_insurance
607015,1,169,55,0.11327557,Ford,Male,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,5786,2017,comprehensive_insurance
607172,0,0,102,0.713431565,Ford,Male,tier1,Web,CorporateAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,893,2020,comprehensive_insurance
583438,5,406,146,0.766189438,Mahindra,Male,tier3,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,11847,2017,comprehensive_insurance
582517,5,46,45,0.084667156,Ford,Female,tier1,Web,CorporateAuto,Diesel,Middlemodel,Yes,Yes,Hail,Basic,6044,2021,third_party_insurance
630386,7,231,184,0.395156792,Hyundai,Male,tier2,App,CorporateAuto,Diesel,Topmodel,Yes,Yes,Scratch/Dent,Extended,2811,2018,comprehensive_insurance
658561,0,0,145,0.157,TATA,Male,tier3,App,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,1804,2020,comprehensive_insurance
589466,27,340,123,0.743315227,Maruti,Female,tier1,App,CorporateAuto,Diesel,Middlemodel,Yes,No,Hail,Basic,3224,2021,third_party_insurance
590914,0,0,76,0.023058016,Maruti,Male,tier1,App,PersonalAuto,Petrol,Topmodel,Yes,No,Scratch/Dent,Extended,7997,2019,comprehensive_insurance
614964,0,0,190,0.022961183,Hyundai,Female,tier3,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,13006,2019,comprehensive_insurance
642403,0,0,186,0.056158488,Maruti,Female,tier2,App,PersonalAuto,Diesel,Middlemodel,Yes,No,Scratch/Dent,Extended,13436,2020,comprehensive_insurance
654176,0,0,74,0.05837725,Hyundai,Female,tier2,Web,CorporateAuto,Diesel,Middlemodel,No,Yes,Hail,Basic,6670,2021,third_party_insurance
600153,0,0,46,0.610143441,Ford,Female,tier1,Web,PersonalAuto,Diesel,Basemodel,No,Yes,Collision,Premium,305,2021,comprehensive_insurance
592407,6,86,59,0.171716327,TATA,Male,tier1,App,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Scratch/Dent,Extended,13419,2018,comprehensive_insurance
595041,0,0,175,0.358337397,Ford,Female,tier1,Call Center,PersonalAuto,Petrol,Basemodel,No,Yes,Hail,Basic,879,2017,third_party_insurance
590830,2,883,137,0.120337957,TATA,Female,tier1,App,PersonalAuto,Petrol,Middlemodel,Yes,No,Collision,Premium,15161,2018,comprehensive_insurance
585071,3,746,162,0.157,Hyundai,Female,tier2,Call Center,PersonalAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,14059,2017,comprehensive_insurance
609920,11,565,99,0.443691896,Hyundai,Male,tier1,Call Center,PersonalAuto,Petrol,Middlemodel,No,Yes,Hail,Basic,4300,2020,third_party_insurance
588554,4,209,37,0.495,Maruti,Female,tier2,App,CorporateAuto,Petrol,Middlemodel,No,Yes,Collision,Premium,11030,2021,comprehensive_insurance
652695,3,303,66,0.071356531,Ford,Female,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,No,Scratch/Dent,Extended,8100,2021,comprehensive_insurance
658744,3,381,90,0.293877337,Mahindra,Male,tier1,Web,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Scratch/Dent,Extended,13505,2020,comprehensive_insurance
586544,0,0,29,0.157,Hyundai,Male,tier1,Web,PersonalAuto,Petrol,Basemodel,Yes,Yes,Hail,Basic,5934,2020,third_party_insurance
642169,3,1021,121,0.024361061,TATA,Male,tier1,App,PersonalAuto,Diesel,Middlemodel,No,Yes,Scratch/Dent,Extended,9822,2018,comprehensive_insurance
593916,10,1324,47,0.157,Maruti,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,No,Collision,Premium,21232,2020,comprehensive_insurance
592978,3,563,91,0.248936675,TATA,Male,tier2,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,3447,2018,comprehensive_insurance
585995,4,334,11,0.650672868,Hyundai,Female,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,17163,2021,comprehensive_insurance
654894,3,829,70,0.006139662,Hyundai,Male,tier1,App,CorporateAuto,Petrol,Topmodel,Yes,No,Hail,Basic,3688,2017,third_party_insurance
600372,4,32,76,0.06815478,Mahindra,Male,tier1,Web,CorporateAuto,Petrol,Topmodel,Yes,Yes,Scratch/Dent,Extended,11714,2017,comprehensive_insurance
634027,0,0,64,0.043965851,TATA,Female,tier1,App,PersonalAuto,Petrol,Middlemodel,No,Yes,Hail,Basic,264,2018,third_party_insurance
618401,4,1107,30,0.202625133,Maruti,Female,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,8252,2019,comprehensive_insurance
598425,8,826,17,0.30775766,TATA,Female,tier1,App,PersonalAuto,Petrol,Middlemodel,No,Yes,Collision,Premium,11587,2018,comprehensive_insurance
608960,2,222,135,0.792092007,Mahindra,Female,tier1,App,PersonalAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,1790,2017,third_party_insurance
